player_id,player_display_name,position,recent_team,season,week,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0002159,Shawn Bryson,RB,DET,2003,16,3.38,4.5,21.25,0.0,0.0,0.0,0.625,0.0,0.1298145,0.0,0.0,7.0375,10.4125
00-0002159,Shawn Bryson,RB,DET,2004,16,2.75,3.5,20.125,0.0,0.0,1.5625,0.8125,0.0,0.107787035,0.0,0.0,3.5375,6.2875
00-0002159,Shawn Bryson,RB,DET,2005,16,2.31,2.44,17.75,0.0,0.0,0.0,0.6875,0.0,0.1195497,0.0,0.0,3.9375,6.25
00-0002159,Shawn Bryson,RB,DET,2006,5,1.6,1.6,19.6,0.2,4.8,14.8,1.0,4.982222,0.06540387,0.03442282,0.12220178,3.18,4.78
00-0002380,Steve Bush,RB,ARI,2002,12,1.58,2.25,10.083333,0.08,0.0,0.0,0.41666666,0.0,0.07373934,0.0,0.0,1.5083333,3.0916667
00-0002380,Steve Bush,RB,ARI,2003,8,1.38,2.12,8.875,0.12,0.0,0.0,0.5,0.0,0.0640958,0.0,0.0,1.6375,3.0125
00-0002380,Steve Bush,RB,SF,2004,2,1.0,1.5,5.0,0.5,0.0,0.0,0.5,0.0,0.05948276,0.0,0.0,3.5,4.5
00-0002380,Steve Bush,RB,SF,2005,3,1.0,1.0,7.0,0.0,0.0,0.0,0.6666667,0.0,0.08228591,0.0,0.0,0.7,1.6999999
00-0002469,Isaac Byrd,WR,CAR,2002,10,1.4,3.1,16.4,0.1,0.0,0.0,0.8,0.0,0.106596604,0.0,0.0,2.24,3.64
00-0002565,Dan Campbell,TE,NYG,2002,15,1.6,2.27,12.533334,0.07,0.0,0.0,0.73333335,0.0,0.067942485,0.0,0.0,1.6533333,3.2533333
00-0002565,Dan Campbell,TE,DAL,2003,13,1.54,2.31,15.0,0.08,0.0,0.0,0.61538464,0.0,0.07059596,0.0,0.0,1.9615384,3.5
00-0002565,Dan Campbell,TE,DAL,2004,2,1.0,1.0,8.0,0.0,0.0,0.0,0.5,0.0,0.03214286,0.0,0.0,0.79999995,1.8
